call_id,rep_id,hcp_id,call_date,planned_vs_actual,call_status,call_type,brand_promoted,month_id
C000001,R01,H009,2025-01-14,Planned,Completed,Virtual,Apexacare,2025-01
C000002,R01,H014,2025-01-03,Planned,No Show,Phone,None,2025-01
C000003,R01,H003,2025-01-21,Planned,Completed,In-Person,Apexacare,2025-01
C000004,R01,H013,2025-01-17,Planned,Completed,In-Person,None,2025-01
C000005,R01,H008,2025-01-25,Planned,Completed,In-Person,Apexacare,2025-01
C000006,R01,H012,2025-01-25,Planned,Completed,Phone,Apexacare,2025-01
C000007,R01,H011,2025-01-30,Planned,No Show,Virtual,None,2025-01
C000008,R01,H013,2025-01-17,Planned,Completed,In-Person,Apexacare,2025-01
C000009,R01,H002,2025-01-11,Planned,Completed,Phone,Apexacare,2025-01
C000010,R01,H013,2025-01-31,Planned,Completed,Phone,None,2025-01
C000011,R01,H008,2025-01-28,Planned,,In-Person,Apexacare,2025-01
C000012,R01,H005,2025-01-31,Planned,Completed,In-Person,Apexacare,2025-01
C000013,R01,H001,2025-01-10,Planned,Completed,In-Person,Apexacare,2025-01
C000014,R01,H004,2025-01-21,Planned,No Show,In-Person,None,2025-01
C000015,R01,H001,2025-01-19,Planned,Completed,In-Person,Apexacare,2025-01
C000016,R01,H015,2025-01-24,Planned,Completed,Phone,Apexacare,2025-01
C000017,R01,H009,2025-01-30,Planned,Completed,In-Person,Apexacare,2025-01
C000018,R01,H016,2025-01-01,Planned,Completed,In-Person,None,2025-01
C000019,R01,H009,2025-01-25,Planned,Completed,In-Person,Apexacare,2025-01
C000020,R01,H005,2025-01-25,Planned,Completed,In-Person,Apexacare,2025-01
C000021,R01,H013,2025-01-01,Planned,Completed,In-Person,Apexacare,2025-01
C000022,R01,H004,2025-01-10,Planned,Completed,In-Person,Apexacare,2025-01
C000023,R01,H006,2025-01-08,Planned,Completed,Virtual,Apexacare,2025-01
C000024,R01,H013,2025-01-10,Planned,Completed,In-Person,Apexacare,2025-01
C000025,R01,H014,2025-01-06,Planned,Cancelled,In-Person,None,2025-01
C000026,R01,H006,2025-01-15,Planned,No Show,In-Person,None,2025-01
C000027,R01,H002,2025-01-05,Planned,Cancelled,Virtual,None,2025-01
C000028,R01,H006,2025-01-11,Planned,Completed,Virtual,None,2025-01
C000029,R01,H015,2025-01-13,Planned,Completed,In-Person,Apexacare,2025-01
C000030,R01,H012,2025-01-18,Planned,,In-Person,Apexacare,2025-01
C000031,R01,H015,2025-01-04,Planned,Cancelled,In-Person,None,2025-01
C000032,R01,H007,2025-01-05,Planned,Completed,In-Person,Apexacare,2025-01
C000033,R01,H016,2025-01-13,Planned,Completed,Virtual,Apexacare,2025-01
C000034,R01,H008,2025-01-31,Planned,Completed,Virtual,Apexacare,2025-01
C000035,R01,H008,2025-01-11,Planned,Completed,Phone,Apexacare,2025-01
C000036,R01,H015,2025-01-07,Planned,Completed,Virtual,Apexacare,2025-01
C000037,R01,H009,2025-01-17,Planned,Completed,In-Person,None,2025-01
C000038,R01,H013,2025-01-16,Planned,Completed,In-Person,None,2025-01
C000039,R01,H012,2025-01-17,Planned,Cancelled,Phone,None,2025-01
C000040,R01,H002,2025-01-07,Planned,Completed,In-Person,Apexacare,2025-01
C000041,R01,H010,2025-01-10,Planned,Completed,In-Person,None,2025-01
C000042,R01,H014,2025-01-21,Planned,Cancelled,In-Person,None,2025-01
C000043,R01,H009,2025-01-01,Planned,,Virtual,Apexacare,2025-01
C000044,R01,H006,2025-01-29,Planned,Completed,In-Person,Apexacare,2025-01
C000045,R01,H002,2025-01-13,Planned,Completed,In-Person,Apexacare,2025-01
C000046,R01,H011,2025-01-19,Planned,Completed,In-Person,Apexacare,2025-01
C000047,R01,H005,2025-01-10,Planned,Completed,In-Person,Apexacare,2025-01
C000048,R01,H010,2025-01-25,Planned,Cancelled,Virtual,None,2025-01
C000049,R01,H007,2025-01-20,Planned,No Show,In-Person,None,2025-01
C000050,R01,H012,2025-01-04,Planned,Completed,In-Person,Apexacare,2025-01
C000051,R01,H006,2025-01-11,Planned,Completed,In-Person,Apexacare,2025-01
C000052,R01,H001,2025-01-05,Planned,Completed,In-Person,Apexacare,2025-01
C000053,R01,H014,2025-01-17,Planned,Completed,In-Person,Apexacare,2025-01
C000054,R01,H006,2025-01-23,Planned,Cancelled,Virtual,None,2025-01
C000055,R01,,2025-01-17,Planned,Completed,In-Person,Apexacare,2025-01
C000056,R01,H005,2025-01-17,Planned,Completed,In-Person,None,2025-01
C000057,R01,H016,2025-01-11,Planned,Completed,In-Person,None,2025-01
C000058,R01,H016,2025-01-24,Planned,Completed,Virtual,Apexacare,2025-01
C000059,R01,H002,2025-01-17,Planned,,Virtual,Apexacare,2025-01
C000060,R01,H011,2025-01-23,Planned,Completed,In-Person,Apexacare,2025-01
C000061,R01,H006,2025-01-01,Planned,Completed,In-Person,Apexacare,2025-01
C000062,R01,H013,2025-01-14,Planned,Completed,In-Person,Apexacare,2025-01
C000063,R01,H011,2025-01-24,Planned,Completed,Virtual,Apexacare,2025-01
C000064,R01,H016,2025-01-20,Planned,Completed,In-Person,None,2025-01
C000065,R01,H003,2025-01-26,Planned,Completed,Phone,Apexacare,2025-01
C000066,R01,H010,2025-01-08,Planned,No Show,In-Person,None,2025-01
C000067,R01,H013,2025-01-06,Planned,Completed,In-Person,Apexacare,2025-01
C000068,R01,H001,2025-01-25,Planned,Cancelled,In-Person,None,2025-01
C000069,R01,H002,2025-01-22,Planned,Completed,In-Person,Apexacare,2025-01
C000070,R01,H013,2025-01-23,Planned,Completed,In-Person,Apexacare,2025-01
C000071,R01,H006,2025-01-11,Planned,Completed,In-Person,Apexacare,2025-01
C000072,R01,H007,2025-01-07,Planned,Completed,In-Person,Apexacare,2025-01
C000073,R01,H010,2025-01-30,Planned,,In-Person,Apexacare,2025-01
C000074,R01,H010,2025-01-24,Planned,Completed,In-Person,Apexacare,2025-01
C000075,R01,H011,2025-01-07,Planned,Cancelled,Phone,None,2025-01
C000076,R01,H016,2025-01-16,Planned,Completed,In-Person,Apexacare,2025-01
C000077,R01,H006,2025-01-06,Planned,Completed,In-Person,Apexacare,2025-01
C000078,R01,H013,2025-01-18,Planned,Completed,In-Person,Apexacare,2025-01
C000079,R01,H010,2025-01-24,Planned,Completed,In-Person,Apexacare,2025-01
C000080,R01,H009,2025-01-09,Planned,Cancelled,In-Person,None,2025-01
C000081,R01,H005,2025-01-10,Unplanned,Completed,In-Person,Apexacare,2025-01
C000082,R01,H005,2025-01-25,Unplanned,Completed,In-Person,Apexacare,2025-01
C000083,R01,H016,2025-01-10,Unplanned,Completed,In-Person,Apexacare,2025-01
C000084,R02,H029,2025-01-10,Planned,Completed,In-Person,Apexacare,2025-01
C000085,R02,H025,2025-01-09,Planned,Cancelled,In-Person,None,2025-01
C000086,R02,H025,2025-01-02,Planned,Completed,In-Person,Apexacare,2025-01
C000087,R02,H027,2025-01-06,Planned,Completed,In-Person,Apexacare,2025-01
C000088,R02,H033,2025-01-29,Planned,Completed,Virtual,Apexacare,2025-01
C000089,R02,H029,2025-01-23,Planned,Completed,In-Person,None,2025-01
C000090,R02,H022,2025-01-10,Planned,Completed,In-Person,Apexacare,2025-01
C000091,R02,H027,2025-01-31,Planned,Completed,In-Person,Apexacare,2025-01
C000092,R02,H026,2025-01-24,Planned,Completed,Phone,Apexacare,2025-01
C000093,R02,H033,2025-01-23,Planned,Cancelled,Virtual,None,2025-01
C000094,R02,H024,2025-01-26,Planned,Completed,In-Person,Apexacare,2025-01
C000095,R02,H023,2025-01-08,Planned,Completed,In-Person,Apexacare,2025-01
C000096,R02,H030,2025-01-26,Planned,Completed,In-Person,Apexacare,2025-01
C000097,R02,H019,2025-01-23,Planned,Completed,In-Person,None,2025-01
C000098,R02,H017,2025-01-04,Planned,No Show,Virtual,None,2025-01
C000099,R02,H603,2025-01-29,Planned,,In-Person,Apexacare,2025-01
C000100,R02,H018,2025-01-05,Planned,Completed,In-Person,None,2025-01
C000101,R02,H033,2025-01-15,Planned,,In-Person,Apexacare,2025-01
C000102,R02,H028,2025-01-19,Planned,Completed,In-Person,None,2025-01
C000103,R02,H030,2025-01-15,Planned,Completed,Virtual,Apexacare,2025-01
C000104,R02,H020,2025-01-17,Planned,Completed,In-Person,Apexacare,2025-01
C000105,R02,H031,2025-01-18,Planned,Completed,In-Person,Apexacare,2025-01
C000106,R02,H021,2025-01-24,Planned,No Show,In-Person,None,2025-01
C000107,R02,H027,2025-01-27,Planned,Completed,In-Person,Apexacare,2025-01
C000108,R02,H021,2025-01-03,Planned,No Show,In-Person,None,2025-01
C000109,R02,H018,2025-01-23,Planned,Completed,In-Person,None,2025-01
C000110,R02,H030,2025-01-30,Planned,Completed,Virtual,None,2025-01
C000111,R02,H021,2025-01-16,Planned,Completed,In-Person,Apexacare,2025-01
C000112,R02,H017,2025-01-25,Planned,Completed,In-Person,Apexacare,2025-01
C000113,R02,H033,2025-01-24,Planned,Completed,In-Person,Apexacare,2025-01
C000114,R02,H021,2025-01-29,Planned,Completed,In-Person,None,2025-01
C000115,R02,H021,2025-01-30,Planned,Completed,In-Person,Apexacare,2025-01
C000116,R02,H018,2025-01-31,Planned,Completed,In-Person,Apexacare,2025-01
C000117,R02,H022,2025-01-21,Planned,Completed,Virtual,Apexacare,2025-01
C000118,R02,H025,2025-01-18,Planned,Completed,In-Person,Apexacare,2025-01
C000119,R02,H029,2025-01-08,Planned,No Show,Virtual,None,2025-01
C000120,R02,H019,2025-01-10,Planned,Completed,In-Person,Apexacare,2025-01
C000121,R02,H603,2025-01-14,Planned,Completed,In-Person,Apexacare,2025-01
C000122,R02,H603,2025-01-08,Planned,Completed,In-Person,Apexacare,2025-01
C000123,R02,H019,2025-01-07,Planned,Completed,Phone,Apexacare,2025-01
C000124,R02,H028,2025-01-04,Planned,Completed,In-Person,Apexacare,2025-01
C000125,R02,H032,2025-01-20,Planned,Completed,Virtual,None,2025-01
C000126,R02,H025,2025-01-01,Planned,Completed,In-Person,Apexacare,2025-01
C000127,R02,H028,2025-01-20,Planned,Completed,In-Person,Apexacare,2025-01
C000128,R02,H030,2025-01-23,Planned,Completed,Virtual,Apexacare,2025-01
C000129,R02,H022,2025-01-02,Planned,,In-Person,None,2025-01
C000130,R02,H022,2025-01-18,Planned,Completed,In-Person,None,2025-01
C000131,R02,H018,2025-01-02,Planned,No Show,In-Person,None,2025-01
C000132,R02,H030,2025-01-10,Planned,Completed,In-Person,None,2025-01
C000133,R02,H028,2025-01-19,Planned,Completed,In-Person,Apexacare,2025-01
C000134,R02,H021,2025-01-22,Planned,Completed,Virtual,Apexacare,2025-01
C000135,R02,H030,2025-01-29,Planned,Completed,In-Person,Apexacare,2025-01
C000136,R02,H032,2025-01-08,Planned,Completed,In-Person,Apexacare,2025-01
C000137,R02,H017,2025-01-18,Planned,Completed,Phone,None,2025-01
C000138,R02,H033,2025-01-30,Planned,Completed,In-Person,Apexacare,2025-01
C000139,R02,H024,2025-01-18,Planned,Completed,In-Person,None,2025-01
C000140,R02,H032,2025-01-31,Planned,Completed,In-Person,Apexacare,2025-01
C000141,R02,H033,2025-01-17,Planned,Completed,In-Person,Apexacare,2025-01
C000142,R02,H017,2025-01-05,Planned,Completed,In-Person,Apexacare,2025-01
C000143,R02,H032,2025-01-18,Planned,Completed,In-Person,Apexacare,2025-01
C000144,R02,H031,2025-01-10,Planned,Completed,Virtual,Apexacare,2025-01
C000145,R02,H020,2025-01-15,Planned,Completed,Phone,Apexacare,2025-01
C000146,R02,H030,2025-01-31,Planned,,In-Person,Apexacare,2025-01
C000147,R02,H021,2025-01-03,Unplanned,Completed,In-Person,Apexacare,2025-01
C000148,R02,H020,2025-01-18,Unplanned,Completed,In-Person,Apexacare,2025-01
C000149,R02,H028,2025-01-24,Unplanned,Completed,In-Person,Apexacare,2025-01
C000150,R02,H033,2025-01-27,Unplanned,Completed,In-Person,Apexacare,2025-01
C000151,R02,H032,2025-01-07,Unplanned,Completed,In-Person,Apexacare,2025-01
C000152,R03,H039,2025-01-17,Planned,Completed,In-Person,Apexacare,2025-01
C000153,R03,H043,2025-01-26,Planned,Completed,In-Person,Apexacare,2025-01
C000154,R03,H034,2025-01-13,Planned,Completed,In-Person,Apexacare,2025-01
C000155,R03,H035,2025-01-23,Planned,Completed,In-Person,Apexacare,2025-01
C000156,R03,H046,2025-01-28,Planned,Completed,In-Person,None,2025-01
C000157,R03,H042,2025-01-21,Planned,Completed,Virtual,Apexacare,2025-01
C000158,R03,H044,2025-01-13,Planned,Cancelled,In-Person,None,2025-01
C000159,R03,H037,2025-01-02,Planned,No Show,Virtual,None,2025-01
C000160,R03,H037,2025-01-03,Planned,Completed,In-Person,Apexacare,2025-01
C000161,R03,H047,2025-01-26,Planned,Completed,In-Person,None,2025-01
C000162,R03,H038,2025-01-04,Planned,No Show,In-Person,None,2025-01
C000163,R03,H047,2025-01-29,Planned,Cancelled,In-Person,None,2025-01
C000164,R03,H037,2025-01-30,Planned,No Show,In-Person,None,2025-01
C000165,R03,H036,2025-01-09,Planned,Completed,Virtual,Apexacare,2025-01
C000166,R03,H045,2025-01-02,Planned,Completed,In-Person,None,2025-01
C000167,R03,H045,2025-01-01,Planned,No Show,In-Person,None,2025-01
C000168,R03,H045,2025-01-25,Planned,Completed,Virtual,Apexacare,2025-01
C000169,R03,H047,2025-01-30,Planned,,In-Person,Apexacare,2025-01
C000170,R03,H044,2025-01-08,Planned,Completed,In-Person,Apexacare,2025-01
C000171,R03,H044,2025-01-22,Planned,Cancelled,In-Person,None,2025-01
C000172,R03,H039,2025-01-24,Planned,,Virtual,None,2025-01
C000173,R03,H037,2025-01-23,Planned,Completed,Virtual,Apexacare,2025-01
C000174,R03,H038,2025-01-12,Planned,Completed,In-Person,Apexacare,2025-01
C000175,R03,H038,2025-01-27,Planned,Completed,In-Person,Apexacare,2025-01
C000176,R03,H040,2025-01-20,Planned,Completed,Phone,Apexacare,2025-01
C000177,R03,H043,2025-01-25,Planned,Completed,In-Person,Apexacare,2025-01
C000178,R03,H038,2025-01-26,Planned,Completed,Phone,Apexacare,2025-01
C000179,R03,H039,2025-01-12,Planned,Cancelled,In-Person,None,2025-01
C000180,R03,H047,2025-01-22,Planned,Completed,In-Person,Apexacare,2025-01
C000181,R03,H040,2025-01-25,Planned,Completed,In-Person,Apexacare,2025-01
C000182,R03,H046,2025-01-23,Planned,Completed,In-Person,Apexacare,2025-01
C000183,R03,H044,2025-01-13,Planned,Completed,Virtual,Apexacare,2025-01
C000184,R03,H045,2025-01-24,Planned,Completed,In-Person,Apexacare,2025-01
C000185,R03,H038,2025-01-03,Planned,Completed,In-Person,Apexacare,2025-01
C000186,R03,H037,2025-01-12,Planned,Completed,Virtual,Apexacare,2025-01
C000187,R03,H038,2025-01-03,Planned,Completed,In-Person,Apexacare,2025-01
C000188,R03,H034,2025-01-18,Planned,Completed,In-Person,Apexacare,2025-01
C000189,R03,H046,2025-01-03,Planned,Completed,In-Person,Apexacare,2025-01
C000190,R03,H045,2025-01-20,Planned,Completed,Virtual,None,2025-01
C000191,R03,H034,2025-01-01,Planned,Completed,In-Person,Apexacare,2025-01
C000192,R03,H042,2025-01-03,Planned,Completed,Virtual,Apexacare,2025-01
C000193,R03,H042,2025-01-08,Planned,Completed,In-Person,Apexacare,2025-01
C000194,R03,H044,2025-01-13,Planned,Completed,In-Person,Apexacare,2025-01
C000195,R03,H038,2025-01-09,Planned,Completed,In-Person,Apexacare,2025-01
C000196,R03,H036,2025-01-14,Planned,Completed,In-Person,Apexacare,2025-01
C000197,R03,H037,2025-01-26,Planned,Completed,In-Person,Apexacare,2025-01
C000198,R03,H042,2025-01-08,Planned,Completed,Virtual,Apexacare,2025-01
C000199,R03,H037,2025-01-20,Planned,Completed,In-Person,Apexacare,2025-01
