hcp_id,month_id,brand,nrx,trx
H001,2025-01,Apexacare,14,68
H001,2025-01,Competitor_A,14,65
H001,2025-01,Competitor_B,15,65
H002,2025-01,Apexacare,17,61
H002,2025-01,Competitor_A,8,28
H002,2025-01,Competitor_B,6,23
H003,2025-01,Apexacare,1,6
H003,2025-01,Competitor_A,1,8
H003,2025-01,Competitor_B,2,8
H004,2025-01,Apexacare,14,65
H004,2025-01,Competitor_A,11,52
H004,2025-01,Competitor_B,13,51
H005,2025-01,Apexacare,9,39
H005,2025-01,Competitor_A,4,18
H005,2025-01,Competitor_B,5,18
H006,2025-01,Apexacare,22,89
H006,2025-01,Competitor_A,13,51
H006,2025-01,Competitor_B,13,49
H007,2025-01,Apexacare,3,16
H007,2025-01,Competitor_A,5,22
H007,2025-01,Competitor_B,6,19
H008,2025-01,Apexacare,10,42
H008,2025-01,Competitor_A,5,21
H008,2025-01,Competitor_B,5,17
H009,2025-01,Apexacare,12,44
H009,2025-01,Competitor_A,14,52
H009,2025-01,Competitor_B,15,48
H010,2025-01,Apexacare,13,53
H010,2025-01,Competitor_A,12,50
H010,2025-01,Competitor_B,11,44
H011,2025-01,Apexacare,10,43
H011,2025-01,Competitor_A,12,52
H011,2025-01,Competitor_B,11,41
H012,2025-01,Apexacare,9,36
H012,2025-01,Competitor_A,12,49
H012,2025-01,Competitor_B,12,47
H013,2025-01,Apexacare,11,44
H013,2025-01,Competitor_A,5,21
H013,2025-01,Competitor_B,4,15
H014,2025-01,Apexacare,15,54
H014,2025-01,Competitor_A,14,51
H014,2025-01,Competitor_B,12,39
H015,2025-01,Apexacare,14,53
H015,2025-01,Competitor_A,8,30
H015,2025-01,Competitor_B,7,22
H016,2025-01,Apexacare,15,63
H016,2025-01,Competitor_A,6,29
H016,2025-01,Competitor_B,6,22
H017,2025-01,Apexacare,19,80
H017,2025-01,Competitor_A,12,51
H017,2025-01,Competitor_B,11,39
H018,2025-01,Apexacare,6,24
H018,2025-01,Competitor_A,4,17
H018,2025-01,Competitor_B,6,16
H019,2025-01,Apexacare,9,39
H019,2025-01,Competitor_A,11,46
H019,2025-01,Competitor_B,12,48
H020,2025-01,Apexacare,4,18
H020,2025-01,Competitor_A,2,11
H020,2025-01,Competitor_B,3,11
H021,2025-01,Apexacare,6,22
H021,2025-01,Competitor_A,6,22
H021,2025-01,Competitor_B,5,16
H022,2025-01,Apexacare,5,26
H022,2025-01,Competitor_A,8,44
H022,2025-01,Competitor_B,8,35
H023,2025-01,Apexacare,9,38
H023,2025-01,Competitor_A,10,41
H023,2025-01,Competitor_B,11,40
H024,2025-01,Apexacare,7,30
H024,2025-01,Competitor_A,16,64
H024,2025-01,Competitor_B,13,50
H025,2025-01,Apexacare,16,69
H025,2025-01,Competitor_A,8,37
H025,2025-01,Competitor_B,8,27
H026,2025-01,Apexacare,10,36
H026,2025-01,Competitor_A,8,28
H026,2025-01,Competitor_B,8,26
H027,2025-01,Apexacare,6,23
H027,2025-01,Competitor_A,8,28
H027,2025-01,Competitor_B,8,25
H028,2025-01,Apexacare,15,74
H028,2025-01,Competitor_A,10,53
H028,2025-01,Competitor_B,9,41
H029,2025-01,Apexacare,9,49
H029,2025-01,Competitor_A,8,40
H029,2025-01,Competitor_B,7,31
H030,2025-01,Apexacare,18,64
H030,2025-01,Competitor_A,16,57
H030,2025-01,Competitor_B,15,49
H031,2025-01,Apexacare,6,32
H031,2025-01,Competitor_A,4,22
H031,2025-01,Competitor_B,5,18
H032,2025-01,Apexacare,14,63
H032,2025-01,Competitor_A,11,46
H032,2025-01,Competitor_B,9,35
H033,2025-01,Apexacare,18,71
H033,2025-01,Competitor_A,15,61
H033,2025-01,Competitor_B,14,48
H034,2025-01,Apexacare,12,48
H034,2025-01,Competitor_A,9,39
H034,2025-01,Competitor_B,9,33
H035,2025-01,Apexacare,7,26
H035,2025-01,Competitor_A,10,35
H035,2025-01,Competitor_B,9,29
H036,2025-01,Apexacare,11,50
H036,2025-01,Competitor_A,12,54
H036,2025-01,Competitor_B,12,48
H037,2025-01,Apexacare,11,38
H037,2025-01,Competitor_A,10,36
H037,2025-01,Competitor_B,10,31
H038,2025-01,Apexacare,17,68
H038,2025-01,Competitor_A,15,59
H038,2025-01,Competitor_B,14,53
H039,2025-01,Apexacare,22,92
H039,2025-01,Competitor_A,14,58
H039,2025-01,Competitor_B,13,48
H040,2025-01,Apexacare,10,48
H040,2025-01,Competitor_A,9,47
H040,2025-01,Competitor_B,9,40
H041,2025-01,Apexacare,3,12
H041,2025-01,Competitor_A,5,22
H041,2025-01,Competitor_B,6,20
H042,2025-01,Apexacare,9,40
H042,2025-01,Competitor_A,5,25
H042,2025-01,Competitor_B,5,19
H043,2025-01,Apexacare,7,38
H043,2025-01,Competitor_A,8,39
H043,2025-01,Competitor_B,8,35
H044,2025-01,Apexacare,9,37
H044,2025-01,Competitor_A,8,34
H044,2025-01,Competitor_B,9,31
H045,2025-01,Apexacare,15,76
H045,2025-01,Competitor_A,14,71
H045,2025-01,Competitor_B,12,51
H046,2025-01,Apexacare,15,53
H046,2025-01,Competitor_A,8,30
H046,2025-01,Competitor_B,7,22
H047,2025-01,Apexacare,1,4
H047,2025-01,Competitor_A,1,7
H047,2025-01,Competitor_B,2,7
H048,2025-01,Apexacare,4,16
H048,2025-01,Competitor_A,4,15
