territory_id,month_id,actual_sales,target_sales
T01,2025-01,141216.32,43840.58
T02,2025-01,144583.69,55087.48
T03,2025-01,120870.34,34072.1
T04,2025-01,124692.34,45604.57
T05,2025-01,127528.49,55726.8
T06,2025-01,124370.79,49055.72
T07,2025-01,113400.63,37743.92
T08,2025-01,136575.35,63860.6
T09,2025-01,128588.07,59902.12
T10,2025-01,103082.17,40018.84
T11,2025-01,99912.3,77697.9
T12,2025-01,99622.1,53383.23
T13,2025-01,105845.61,64264.91
T14,2025-01,102071.42,52125.52
T15,2025-01,115017.63,54878.87
T16,2025-01,114909.16,64767.28
T17,2025-01,95210.04,48359.04
T18,2025-01,127162.61,51008.42
T19,2025-01,122561.11,39967.0
T20,2025-01,120105.84,57709.64
T21,2025-01,103933.22,58056.84
T22,2025-01,70452.5,50926.64
T23,2025-01,132309.87,56694.15
T24,2025-01,109886.24,54270.48
T25,2025-01,86491.27,52393.16
T26,2025-01,107806.72,40658.45
T27,2025-01,146920.87,72531.31
T28,2025-01,78684.17,48029.66
T29,2025-01,97310.27,62517.2
T30,2025-01,121798.78,51285.67
T31,2025-01,127892.94,43482.85
T32,2025-01,89945.87,70622.48
T33,2025-01,72637.49,48760.0
T34,2025-01,78222.53,66608.0
T35,2025-01,90102.97,68080.0
T36,2025-01,87149.67,68632.0
T37,2025-01,103033.55,46736.0
T38,2025-01,63201.44,53544.0
T39,2025-01,98767.61,44620.0
T40,2025-01,94387.56,56580.0
T01,2025-02,137329.76,41157.82
T02,2025-02,140796.75,56755.71
T03,2025-02,116201.41,35066.66
T04,2025-02,110272.9,47850.62
T05,2025-02,119338.38,54557.89
T06,2025-02,143973.66,49319.82
T07,2025-02,114461.66,37655.04
T08,2025-02,138310.12,66299.3
T09,2025-02,126584.63,62025.9
T10,2025-02,95660.62,41401.16
T11,2025-02,87601.74,77350.81
T12,2025-02,103254.53,54096.17
T13,2025-02,97861.91,65041.05
T14,2025-02,105340.92,53753.73
T15,2025-02,101137.62,53466.73
T16,2025-02,111310.56,64242.32
T17,2025-02,89397.33,50736.75
T18,2025-02,121389.98,50023.95
T19,2025-02,118383.49,41009.75
T20,2025-02,122657.46,61271.73
T21,2025-02,99582.43,62575.31
T22,2025-02,74810.01,51564.39
T23,2025-02,136294.93,52506.22
T24,2025-02,117015.76,51179.89
T25,2025-02,92193.6,56247.88
T26,2025-02,104360.07,38936.77
T27,2025-02,126852.15,71178.09
T28,2025-02,87756.69,48285.26
T29,2025-02,112870.64,65868.32
T30,2025-02,116096.71,50460.63
T31,2025-02,123196.25,41695.82
T32,2025-02,90186.79,67524.19
