territory_id,territory_name,region,monthly_call_target,category_volume_factor,target_hcp_count_factor,patient_volume_proxy,est_market_calls_monthly
T01,Boston Territory,East,80,0.38,0.84,0.4,267
T02,New York Territory,East,63,0.77,0.94,0.27,304
T03,Philadelphia Territory,East,61,0.32,0.53,0.6,253
T04,Washington Territory,East,77,0.44,0.79,0.64,278
T05,Atlanta Territory,East,74,0.71,0.89,0.21,270
T06,Miami Territory,East,73,0.54,0.49,0.97,293
T07,Boston_North Territory,East,63,0.36,0.46,0.88,327
T08,NY_West Territory,East,68,0.86,0.84,0.63,298
T09,Seattle Territory,West,62,0.69,0.9,0.69,296
T10,Portland Territory,West,78,0.43,0.44,0.73,348
T11,San Francisco Territory,West,69,0.99,0.91,0.89,298
T12,Los Angeles Territory,West,68,0.62,0.9,0.33,295
T13,San Diego Territory,West,66,0.77,0.82,0.75,259
T14,Phoenix Territory,West,79,0.74,0.72,0.4,309
T15,Denver Territory,West,72,0.49,0.96,0.75,278
T16,Salt Lake Territory,West,70,0.89,0.87,0.38,254
T17,Chicago Territory,Midwest,70,0.58,0.44,0.93,322
T18,Detroit Territory,Midwest,70,0.45,0.7,0.91,332
T19,Minneapolis Territory,Midwest,74,0.4,0.48,0.8,318
T20,St Louis Territory,Midwest,68,0.82,0.66,0.67,296
T21,Cleveland Territory,Midwest,67,1.0,0.48,0.59,346
T22,Indianapolis Territory,Midwest,61,0.9,0.49,0.33,337
T23,Cincinnati Territory,Midwest,73,0.72,0.63,0.68,309
T24,Kansas City Territory,Midwest,76,0.48,0.73,0.95,337
T25,Dallas Territory,South,63,0.78,0.72,0.41,332
T26,Houston Territory,South,70,0.38,0.66,0.56,342
T27,Austin Territory,South,68,0.98,0.86,0.61,263
T28,New Orleans Territory,South,80,0.51,0.78,0.69,269
T29,Nashville Territory,South,71,0.83,0.72,0.82,317
T30,Charlotte Territory,South,60,0.72,0.69,0.29,296
T31,Tampa Territory,South,69,0.47,0.54,0.65,260
T32,Birmingham Territory,South,62,0.81,0.89,0.98,318
T33,Chicago_South Territory,Region_X,64,0.39,0.69,0.64,283
T34,Milwaukee Territory,Region_X,76,0.91,0.65,0.37,319
T35,Indianapolis_West Territory,Region_X,66,0.8,0.64,0.74,297
T36,Detroit_East Territory,Region_X,74,0.93,0.67,0.4,258
T37,Cleveland_South Territory,Region_X,70,0.31,0.73,0.67,250
T38,Grand Rapids Territory,Region_X,62,0.8,0.44,0.25,254
T39,Madison Territory,Region_X,70,0.35,0.54,0.74,277
T40,Peoria Territory,Region_X,77,0.39,0.96,0.66,310
